nom_du_festival;envergure_territoriale;region_principale_de_deroulement;departement_principal_de_deroulement;commune_principale_de_deroulement;code_postal_de_la_commune_principale_de_deroulement;code_insee_commune;code_insee_epci_collage_en_valeur;libelle_epci_collage_en_valeur;numero_de_voie;type_de_voie_rue_avenue_boulevard_etc;nom_de_la_voie;adresse_postale;complement_d_adresse_facultatif;site_internet_du_festival;adresse_e_mail;decennie_de_creation_du_festival;annee_de_creation_du_festival;discipline_dominante;sous_categorie_spectacle_vivant;sous_categorie_musique;sous_categorie_musique_cnm;sous_categorie_cinema_et_audiovisuel;sous_categorie_arts_visuels_et_arts_numeriques;sous_categorie_livre_et_litterature;periode_principale_de_deroulement_du_festival;identifiant_agence_a;identifiant;identifiant_cnm;;;;;;;;;;;;;;;
Strie dent festival;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13003;13055;200054807;Métropole d'Aix-Marseille-Provence;;;;;;striedent.wordpress.com;striedent@gmail.com;De 2000 à 2009;;Musique;;Rock;;;;;Avant-saison (1er janvier - 20 juin);;FEST_13055_3784;;;;;;;;;;;;;;;;
Jazz Au Pôle;;Nouvelle-Aquitaine;Landes;Mont-de-Marsan;40000;40192;244000808;CA Mont-de-Marsan Agglomération;;;;;;http://www.lemarsan.fr;contact@montdemarsan-agglo.fr;2010 et après;2015;Musique;;Musiques actuelles;03- Jazz, blues et musiques improvisées;;;;Avant-saison (1er janvier - 20 juin);LA531;FEST_40192_4015;4857;;;;;;;;;;;;;;;
Imaginieul;;Nouvelle-Aquitaine;Haute-Vienne;Nieul;87510;87107;200066512;CC Élan Limousin Avenir Nature;-;Place;Emile Foursat;#NOM?;;http://www.aurora-illusia.com/;aurora87asso@sfr.fr;2010 et après;2010;Spectacle vivant;Théâtre;;;;;;Saison (21 juin - 5 septembre);LA233;FEST_87107_4416;;;;;;;;;;;;;;;;
Cineffbale - Festival international du film lesbien et féministe de Paris;;Île-de-France;Paris;Paris;75012;75056;200054781;Métropole du Grand Paris;;;;;;www.cineffable.fr;contact@cineffable.fr;De 1980 à 1989;1989;Cinéma, audiovisuel;;;;Fiction long métrage, Court métrage, Documentaire, Film d'animation, Expérimental;;;Après-saison (6 septembre - 31 décembre);;FEST_75112_4641;;;;;;;;;;;;;;;;
Play it again;;Île-de-France;Paris;Paris;75015;75056;200054781;Métropole du Grand Paris;;;;;;www.festival-playitagain.com;;2010 et après;01/01/2015 00:00;Cinéma, audiovisuel;;;;Animation;;;Avant-saison (1er janvier - 20 juin);;FEST_75115_4840;;;;;;;;;;;;;;;;
Chiméria;;Grand Est;Ardennes;Sedan;8200;8409;200041630;CA Ardenne Métropole;;;;;;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiT4uvw9fjvAhV18uAKHQmkC88QFjABegQIAhAD&url=https%3A%2F%2Fwww.chimeria.org%2F&usg=AOvVaw1hVwVW3AsPf-ClL0GOMnLN;marylene.leterrier@orange.fr;De 2000 à 2009;2003;Arts visuels, arts numériques;;;;;Arts et sciences visionnaires;;Saison (21 juin - 5 septembre);;FEST_08409_6297;;;;;;;;;;;;;;;;
Jazz aux chandelles;;Centre-Val de Loire;Indre;Valençay;36600;36228;200040558;CC Écueillé-Valençay;;;;;;https://www.chateau-valencay.fr/activite/jazz-aux-chandelles/;;2010 et après;2019;Musique;;;03- Jazz, blues et musiques improvisées;;;;Saison (21 juin - 5 septembre);;FEST_36228_6870;5014;;;;;;;;;;;;;;;
Ciné-patrimoine;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Vence;6140;6157;200030195;Métropole Nice Côte d'Azur;32;Avenue;Joseph bougearel;32 Avenue Joseph bougearel;;https://www.marathondufilm.fr;artsept@laposte.net;2010 et après;2018;Cinéma, audiovisuel;;;;Court métrage, documentaire, film d'animation, film d'archives;;;Saison (21 juin - 5 septembre);;FEST_06157_6961;;;;;;;;;;;;;;;;
Mus'iterranée;Intercommunale;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Aix-en-Provence;13100;13001;200054807;Métropole d'Aix-Marseille-Provence;11;Rue;Les allumettes;11 Rue Les allumettes;Amphithéâtre de la verrière;www.musiterranee.com;contact@musiterranee.com;2010 et après;2010;Musique;;Musiques du monde;04- Musiques traditionnelles et du monde;;;;Après-saison (6 septembre - 31 décembre);;FEST_13001_66;1547;;;;;;;;;;;;;;;
Festival d'Allos;;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Allos;4260;4006;200068625;CC Alpes-Provence-Verdon - Sources de Lumière;;;;;;www.valdallos.com;info@valdallos.com;;;Spectacle vivant;"Jeune public ; théâtre";;;;;;Avant-saison (1er janvier - 20 juin);;44.2614961379, 6.62671789984;;;;;;;;;;;;;;;
Les nuits flamencas d'aubagne;Internationale;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Aubagne;13400;13005;200054807;Métropole d'Aix-Marseille-Provence;;Esplanade;De gaulle;Esplanade De gaulle;Centre-ville;www.lesnuitsflamencas.fr;communication@nomadeskultur.com;2010 et après;2015;Spectacle vivant;;Musique du monde;;;;;Saison (21 juin - 5 septembre);;FEST_13005_409;;;;;;;;;;;;;;;;
Ki Danse;Régionale;Hauts-de-France;Aisne;Château-Thierry;2400;2168;200072031;CA de la Région de Château-Thierry;53;Rue;Paul Doucet;53 Rue Paul Doucet;;http://www.echangeur.org/;molivier@echangeur.org;2010 et après;2017;Spectacle vivant;Danse;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_02168_1558;;;;;;;;;;;;;;;;
Opéra de poche;;Auvergne-Rhône-Alpes;Allier;Chatelperron;3320;3067;200071470;CC Entr'Allier Besbre et Loire;;;;;Château des vieux Melays;http://www.operadepoche.fr/;appeldairs@hotmail.com;2010 et après;;Spectacle vivant;;Art lyrique;;;;;Saison (21 juin - 5 septembre);;FEST_03067_1574;;;;;;;;;;;;;;;;
Lire en Bastides;;Nouvelle-Aquitaine;Dordogne;Lalinde;24150;24223;200034833;CC des Bastides Dordogne-Périgord;;;;;;WWW.festival-lireenbastides-lalinde.com;michelandrecouderc@gmail.com;2010 et après;2017;Livre, littérature;;;;;;;Saison (21 juin - 5 septembre);ALCA130;FEST_24223_2919;;;;;;;;;;;;;;;;
Éclats d'émail Jazz Édition;;Nouvelle-Aquitaine;Haute-Vienne;Limoges;87000;87085;248719312;CU Limoges Métropole;1;Rue;Montaigne;1 Rue Montaigne;;http://www.eclatsdemail.com;jm.leygonie@wanadoo.fr;De 2000 à 2009;2006;Musique;;Musiques actuelles;03- Jazz, blues et musiques improvisées;;;;Après-saison (6 septembre - 31 décembre);LA252;FEST_87085_3375;722;;;;;;;;;;;;;;;
Acontraluz;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13002;13055;200054807;Métropole d'Aix-Marseille-Provence;;Esplanade;Du J4;Esplanade Du J4;;www.acontraluz.fr;kim.marsilj@mcocongres.com;2010 et après;2015;Musique;;Musiques électroniques, techno;;;;;Saison (21 juin - 5 septembre);;FEST_13055_3681;;;;;;;;;;;;;;;;
Les heures bleues;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13011;13055;200054807;Métropole d'Aix-Marseille-Provence;;;;;;https://lesheuresbleues.fr/;contact@lesheuresbleues.fr;2010 et après;2019;Musique;;Musiques du monde;;;;;Saison (21 juin - 5 septembre);;FEST_13055_3740;;;;;;;;;;;;;;;;
Marseille web fest;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13001;13055;200054807;Métropole d'Aix-Marseille-Provence;37;Rue;Vincent scotto;37 Rue Vincent scotto;Cinéma les variétés;www.marseillewebfest.com;contact@marseillewebfest.com;2010 et après;2011;Cinéma, audiovisuel;;;;Série courte de fiction & documentaire;;;Après-saison (6 septembre - 31 décembre);;FEST_13055_3755;;;;;;;;;;;;;;;;
Semaine de la marionnette;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Mougins;6250;6085;200039915;CA Cannes Pays de Lérins;;;;;;www.mougins.fr;culture@villedemougins.com;2010 et après;;Pluridisciplinaire;"Jeune public ; marionnettes-théâtre d'objets-théâtre d'ombres ; théâtre musical";;;;;;Avant-saison (1er janvier - 20 juin);FEST_06085_4197;43.5961410556, 7.00129444919;;;;;;;;;;;;;;
Stéréolithe;;Grand Est;Meurthe-et-Moselle;Nancy;54000;54395;245400676;Métropole du Grand Nancy;;;;;;www.asso-monolithe.fr;contact@asso-monolithe.fr;2010 et après;2014;Musique;;Musiques traditionnelles, Musiques électroniques, techno, Pop, rock, musiques expérimentales;07- Musiques actuelles sans distinction;;;;Saison (21 juin - 5 septembre);;FEST_54395_4272;2794;;;;;;;;;;;;;;;
Au fil de l'autre;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice;6950;6004;240600585;CA de Sophia Antipolis;;;;;;lentree.desartistes.free.fr;francoise.ollivier9@gmail.com;;;Arts visuels, arts numériques;Danse, théâtre;Musique;;;Arts plastiques;;Avant-saison (1er janvier - 20 juin);;FEST_06004_4380;;;;;;;;;;;;;;;;
Eldorado Music Festival;;Île-de-France;Paris;Paris;75011;75056;200054781;Métropole du Grand Paris;;;;;;http://www.cafedeladanse.com;;De 2000 à 2009;01/01/2009 00:00;Musique;;Musiques actuelles;02- Musiques amplifiées ou électroniques;;;;Après-saison (6 septembre - 31 décembre);;FEST_75111_4664;134;;;;;;;;;;;;;;;
Aujourd'hui Musiques, Festival des Créations Sonores et Visuelles;Régionale;Occitanie;Pyrénées-Orientales;Perpignan;66000;66136;200027183;CU Perpignan Méditerranée Métropole;;Avenue;Général Leclerc;Avenue Général Leclerc;Bp 90327;https://www.theatredelarchipel.org/aujourdhui-musiques#:~:text=Festival%20Aujourd'hui%20Musiques%20%2D%20Cr%C3%A9ation,Archipel%20%2C%20sc%C3%A8ne%20nationale%20de%20Perpignan;programmation@theatredelarchipel.org;De 1990 à 1999;1992;Musique;;;11- Musique classique, lyrique, contemporaine, autres;;;;Après-saison (6 septembre - 31 décembre);;FEST_66136_4968;3096;;;;;;;;;;;;;;;
Éclats de voix;Transfrontalière;Occitanie;Gers;Preignan;32810;32331;200066926;CA Grand Auch CSur de Gascogne;;;;;Différents lieux :  Cathédrale Sainte-Marie d’AUCH Dome de gascogne Lagraulet du gers & chapelle de luzanet;http://www.eclatsdevoix.com/;eclatsdevoix@orange.fr;De 1990 à 1999;1998;Musique;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_32331_5215;;;;;;;;;;;;;;;;
Jazz à l'étage;;Bretagne;Ille-et-Vilaine;Rennes;35000;35238;243500139;Rennes Métropole;;;Le Liberté;Le Liberté;;http://jazzaletage.com/;olivier@jazzaletage.com;De 2000 à 2009;;Musique;;;03- Jazz, blues et musiques improvisées;;;;Avant-saison (1er janvier - 20 juin);;FEST_35238_5366;844;;;;;;;;;;;;;;;
Festival et rencontres de musique de chambre du Larzac;Intercommunale;Occitanie;Aveyron;Saint-Beaulize;12540;12212;241200906;CC Larzac et Vallées;;;;;Différents lieux :  Jardins caché de nant Jardins privés sous les noyers Abbatiale st pierre Eglise Cour médiévale Gare de st eulalie de Cernon;http://festivaldularzac.com/ledition-2021/;festivaldularzac@yahoo.fr;De 2000 à 2009;2005;Musique;;Musique classique, musique contemporaine, musique lyrique;11- Musique classique, lyrique, contemporaine, autres;;;;Saison (21 juin - 5 septembre);;FEST_12212_5668;5933;;;;;;;;;;;;;;;
Les Rencontres de danse aérienne;;Pays de la Loire;Loire-Atlantique;Saint-Nazaire;44600;44184;244400644;CA de la Région Nazairienne et de l'Estuaire (CARENE);2;Avenue;ALBERT DE MUN;2 Avenue ALBERT DE MUN;;www.lesrencontresdedanseaerienne.com;contact@lesrencontresdedanseaerienne.com;De 2000 à 2009;2009;Spectacle vivant;Cirque, Arts de la rue;;;;;;Saison (21 juin - 5 septembre);;FEST_44184_6065;;;;;;;;;;;;;;;;
Les grosses guitares;;Auvergne-Rhône-Alpes;Rhône;Vaugneray;69670;69255;246900724;CC des Vallons du Lyonnais (CCVL);8;Chemin;du Stade;8 Chemin  du Stade;;http://www.lesgrossesguitares.com;;De 2000 à 2009;2001;Musique;;Musiques actuelles;07- Musiques actuelles sans distinction;;;;Après-saison (6 septembre - 31 décembre);;FEST_69255_6943;1054;;;;;;;;;;;;;;;
Soirees gourmandes et musicales;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Villeneuve-Loubet;6270;6161;240600585;CA de Sophia Antipolis;;;;;;www.villeneuve-gourmand.com;service-spectacles@mairie-villeneuve-loubet.fr;De 1990 à 1999;;Musique;;Chanson;;;;;Saison (21 juin - 5 septembre);;FEST_06161_7116;;;;;;;;;;;;;;;;
Faites de la chanson;Régionale;Hauts-de-France;Pas-de-Calais;Arras;62000;62041;200033579;CU d'Arras;61;;Grand'Place;61  Grand'Place;;https://www.didouda.net/;contact@didouda.net;De 2000 à 2009;2004;Musique;;Musique électronique, Chanson, Variété française, Pop;01- Chanson;;;;Après-saison (6 septembre - 31 décembre);;FEST_62041_376;638;;;;;;;;;;;;;;;
Charivarues;;Île-de-France;Val-de-Marne;Cachan;94230;94016;200058014;Grand-Orly Seine Bièvre (T12);;;;;;http://www.theatrejacquescarat.fr/;;2010 et après;01/01/2015 00:00;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_94016_1132;;;;;;;;;;;;;;;;
Cinealma;Départementale;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Carros;6510;6033;200030195;Métropole Nice Côte d'Azur;5 bis;Boulevard;De la colle belle;5 bis Boulevard De la colle belle;Salle juliette gréco;http://cinealma.fr/;contacts@cineactions.com;De 2000 à 2009;2007;Cinéma, audiovisuel;;;;Fiction long métrage;;;Après-saison (6 septembre - 31 décembre);;FEST_06033_1289;;;;;;;;;;;;;;;;
Le Feu aux Planches;;Grand Est;Meurthe-et-Moselle;Choloy-Ménillot;54200;54128;200070563;CC Terres Touloises;;;;;;https://feuauxplanches.jimdo.com/;foyer.choloy@gmail.com;De 2000 à 2009;01/01/2006 00:00;Spectacle vivant;Arts de la rue;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_54128_1636;;;;;;;;;;;;;;;;
Festival des cultures et musiques du monde;Intercommunale;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gap;5000;5061;200067825;CA Gap-Tallard-Durance;2;Route;De veynes;2 Route De veynes;Mairie de gap - campus des 3 fontaines;https://www.ville-gap.fr;francoise.carbonero@ville-gap.fr;De 2000 à 2009;;Musique;;Musiques traditionnelles;;;;;Saison (21 juin - 5 septembre);;FEST_05061_2350;;;;;;;;;;;;;;;;
Festiv'idées;;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gap;5000;5061;200067825;CA Gap-Tallard-Durance;;Boulevard;Pompidou;Boulevard Pompidou;Parc de la pépinière;www.mobilidees.org;contact@mobilidees.org;2010 et après;2011;Spectacle vivant;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_05061_2351;;;;;;;;;;;;;;;;
La Biennale de la danse;Internationale;Auvergne-Rhône-Alpes;Métropole de Lyon;Lyon;69007;69123;200046977;Métropole de Lyon;65;Rue;Challemel Lacour;65 Rue Challemel Lacour;;https://www.labiennaledelyon.com/;info@labiennaledelyon.com;De 1980 à 1989;1984;Spectacle vivant;Danse;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_69157_3548;;;;;;;;;;;;;;;;
Lecture par nature;Intercommunale;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13002;13055;200054807;Métropole d'Aix-Marseille-Provence;2bis;Quai;Quai d'arenc;2bis Quai Quai d'arenc;;ampmetropole.lectureparnature.fr;veronique.vassiliou@ampmetropole.fr;2010 et après;2016;Livre, littérature;;;;;;Bande dessinée, comics, manga, fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, polar, science-fiction;Avant-saison (1er janvier - 20 juin);;FEST_13055_3737;;;;;;;;;;;;;;;;
Festival du Périgord Noir;;Nouvelle-Aquitaine;Dordogne;Montignac;24290;24291;200041168;CC de la Vallée de l'Homme;;;;;;http://www.festivalmusiqueperigordnoir.com/;contact@festivalduperigordnoir.fr;De 1980 à 1989;1983;Musique;;Musiques classiques et savantes;11- Musique classique, lyrique, contemporaine, autres;;;;Saison (21 juin - 5 septembre);LA127;FEST_24291_4043;1837;;;;;;;;;;;;;;;
Les Vagamondes;;Grand Est;Haut-Rhin;Mulhouse;68100;68224;200066009;CA Mulhouse Alsace Agglomération;;;;;;www.lafilature.org;Benoit.Andre@lafilature.org;2010 et après;01/01/2013 00:00;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_68224_4229;;;;;;;;;;;;;;;;
Automne Musical de Nîmes;;Occitanie;Gard;Nîmes;30000;30189;243000643;CA de Nîmes Métropole;/;Place;du Grand Temple;/ Place du Grand Temple;Le Grand Temple De Nîmes;http://automne-musical-nimes.org/;automnemusicaldenimes@hotmail.fr;De 1980 à 1989;1981;Musique;;Musique classique, lyrique, contemporaine, autres;11- Musique classique, lyrique, contemporaine, autres;;;;Après-saison (6 septembre - 31 décembre);;FEST_30189_4419;3122;;;;;;;;;;;;;;;
Biennale des Arts du Mime et du Geste;;Île-de-France;Paris;Paris;75010;75056;200054781;Métropole du Grand Paris;;;;;;http://www.collectifartsmimegeste.com/index.php;;2010 et après;2017;Pluridisciplinaire;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_75110_4626;;;;;;;;;;;;;;;;
Blues au 13;;Île-de-France;Paris;Paris;75013;75056;200054781;Métropole du Grand Paris;;;;;;http://www.theatre13.com;;2010 et après;01/01/2010 00:00;Musique;;Musiques actuelles;;;;;;;FEST_75113_4632;;;;;;;;;;;;;;;;
DO DISTURB;;Île-de-France;Paris;Paris;75016;75056;200054781;Métropole du Grand Paris;;;;;;http://www.palaisdetokyo.com;;2010 et après;01/01/2015 00:00;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75116_4660;;;;;;;;;;;;;;;;
Ô 4 vents;;Île-de-France;Paris;Paris;75004;75056;200054781;Métropole du Grand Paris;;;;;;;;;;Pluridisciplinaire;;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_75104_4803;;;;;;;;;;;;;;;;
Winter Camp Festival;;Île-de-France;Paris;Paris;75020;75056;200054781;Métropole du Grand Paris;;;;;;http://www.wintercampfestival.fr/;;2010 et après;01/01/2013 00:00;Musique;;Musiques actuelles;;;;;Après-saison (6 septembre - 31 décembre);;FEST_75120_4893;;;;;;;;;;;;;;;;
Jazz au sommet;Départementale;Auvergne-Rhône-Alpes;Loire;Saint-Genest-Malifaux;42660;42224;244200622;CC des Monts du Pilat;3;Rue;DU FEUILLAGE;3 Rue DU FEUILLAGE;;WWW.JAZZAUSOMMET.COM;dani.cormierbrunon@gmail.com;De 2000 à 2009;2007;Musique;;jazz, blues;03- Jazz, blues et musiques improvisées;;;;Après-saison (6 septembre - 31 décembre);;FEST_42224_5849;592;;;;;;;;;;;;;;;
Papillons de Nuit;;Normandie;Manche;Saint-Laurent-de-Cuves;50670;50499;200069425;CA Mont-Saint-Michel-Normandie;5;rue;Principale;5 rue Principale;;https://papillonsdenuit.com/;pom@papillonsdenuit.com;De 2000 à 2009;2001;Musique;;Chanson ou variété française, Hip-hop, rap, slam, Musiques électroniques, techno, Pop, rock, Variétés internationales;07- Musiques actuelles sans distinction;;;;Avant-saison (1er janvier - 20 juin);;FEST_50499_5960;154;;;;;;;;;;;;;;;
Don Jigi Fest;;Bretagne;Ille-et-Vilaine;Vitré;35500;35360;200039022;CA Vitré Communauté;;;Parc des expositions;Parc des expositions;;https://donjigifest.org/;contact@donjigifest.org;2010 et après;2010;Musique;;Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock;02- Musiques amplifiées ou électroniques;;;;Avant-saison (1er janvier - 20 juin);;FEST_35360_7164;2727;;;;;;;;;;;;;;;
Cosmos Arles books;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Arles;13200;13004;241300417;CA d'Arles-Crau-Camargue-Montagnette;34;Rue;Du docteur fanton;34 Rue Du docteur fanton;Rencontres de la photographie;www.cosmosarlesbooks.com;info@rencontres-arles.com;De 2000 à 2009;2009;Arts visuels, arts numériques;;;;;Photographie;;Saison (21 juin - 5 septembre);;FEST_13004_341;;;;;;;;;;;;;;;;
V and B Fest';;Pays de la Loire;Mayenne;Château-Gontier-sur-Mayenne;53200;53062;245300447;CC du Pays de Château-Gontier;;;;;Hippodrome - La Maroutière;www.vandbfest.fr;d.jahier@vandb.fr;2010 et après;2019;Musique;;;07- Musiques actuelles sans distinction;;;;Saison (21 juin - 5 septembre);;FEST_53062_1531;5082;;;;;;;;;;;;;;;
Jazz sous les bigaradiers;Départementale;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;La Gaude;6610;6065;200030195;Métropole Nice Côte d'Azur;16;Rue;Gabriel ponzone;16 Rue Gabriel ponzone;;https://www.assowhat.org/;alex.benvenuto@wanadoo.fr;De 1990 à 1999;1996;Musique;;Jazz, blues;03- Jazz, blues et musiques improvisées;;;;Après-saison (6 septembre - 31 décembre);;FEST_06065_2780;1765;;;;;;;;;;;;;;;
Mois de la danse;;Auvergne-Rhône-Alpes;Métropole de Lyon;Lyon;69001;69123;200046977;Métropole de Lyon;8 bis;Quai;Saint-Vincent;8 bis Quai Saint-Vincent;;https://www.lyon.fr/node/24139;direction@les-subs.com;2010 et après;;Spectacle vivant;Danse;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_69137_3567;;;;;;;;;;;;;;;;
